 Average of  Max VisibilityKm ,Volume Share of Category
16,0.16126975
16,0.127361133
16,0.113755239
16,0.1516599
16,0.125686026
16,0.080740184
16,0.099231351
16,0.097197072
16,0.095381958
16,0.134272913
16,0.104693102
16,0.10329863
16,0.111256116
16,0.100444457
16,0.110846672
16,0.106890688
16,0.09561623
16,0.100455877
16,0.097730837
16,0.099991786
16,0.094110673
16,0.11037367
16,0.106627492
16,0.100024157
16,0.098221088
16,0.092997243
16,0.087539355
16,0.105086512
16,0.092364991
16,0.103431742
16,0.129832239
16,0.145930875
16,0.104763095
16,0.089586679
16,0.132715202
16,0.164681946
16,0.122874881
16,0.097821712
15.57142857,0.141310068
16,0.124747843
15.28571429,0.124265833
15.28571429,0.137193028
14.28571429,0.130942294
16,0.110532739
13.14285714,0.132060809
16,0.138475299
14,0.105221948
16,0.097828996
16,0.11167323
15.14285714,0.110264512
15.71428571,0.11869098
16,0.123574534
16,0.105448406
16,0.100649873
16,0.096166508
16,0.135339211
16,0.119700218
16,0.093700164
16,0.089718894
16,0.094073309
16,0.088789084
16,0.105244219
16,0.092614485
16,0.090307833
16,0.108881656
16,0.097739323
16,0.085865605
16,0.081436698
16,0.093759482
16,0.093409803
16,0.095192756
16,0.106416886
16,0.093185804
16,0.077642406
16,0.08702656
16,0.096340419
16,0.091600456
16,0.090423409
16,0.093546387
16,0.105495943
16,0.090978635
16,0.094305266
16,0.1099653
16,0.121062759
16,0.084788231
16,0.081734174
16,0.096471188
16,0.104425018
16,0.100747785
16,0.100383906
16,0.13489671
16,0.109674841
16,0.079085814
16,0.081823767
15.28571429,0.091341939
16,0.097740451
16,0.102917423
16,0.115548933
16,0.112826992
16,0.085749774
14.5,0.084753177
16,0.080856357
15.57142857,0.11581195
16,0.126681859
16,0.097960692
16,0.085351283
16,0.072604457
16,0.068972092
16,0.071522359
16,0.061048508
16,0.079018144
16,0.084419789
16,0.090508402
16,0.079300989
16,0.06896696
16,0.069149564
16,0.085200823
15.6,0.095274864
16,0.079725076
16,0.077094285
16,0.086887722
16,0.082030711
16,0.085347136
16,0.097930291
16,0.08644628
16,0.062006113
16,0.06201967
16,0.077684638
16,0.072787024
16,0.058775199
16,0.065144429
16,0.080484153
16,0.073690708
16,0.066121705
16,0.091656635
16,0.081670275
16,0.093167085
16,0.105094945
16,0.096668557
16,0.078236084
16,0.090078676
14.42857143,0.090025791
16,0.095260904
16,0.085458248
16,0.034683946
16,0.033123187
16,0.034596857
16,0.034557611
15.28571429,0.035841526
16,0.036692653
16,0.03093656
16,0.03439746
16,0.032202357
15.14285714,0.03119401
15.71428571,0.025411096
16,0.028321285
16,0.027342922
16,0.031588659
16,0.027195827
16,0.029730935
15,0.025026068
15.71428571,0.027157409
16,0.026523146
16,0.026180509
16,0.024830389
16,0.02608386
16,0.024657065
16,0.024974918
16,0.032569975
16,0.027913821
16,0.025940286
16,0.030400787
16,0.031214776
16,0.034043602
16,0.030758728
15.28571429,0.041857006
16,0.041154076
16,0.041431265
16,0.036415843
16,0.034988903
16,0.031113594
16,0.035339469
16,0.039652976
16,0.038380439
16,0.040492251
15.14285714,0.048670934
16,0.043639056
16,0.045174887
16,0.045350627
16,0.046352613
16,0.049042465
16,0.049610318
15.71428571,0.052155811
16,0.043614127
15.14285714,0.047364803
16,0.044333544
16,0.043784112
15.71428571,0.041637977
15.71428571,0.043075798
14.33333333,0.037036289
16,0.044218365
16,0.046252443
16,0.052912692
16,0.058437034
16,0.059458697
16,0.046963251
16,0.046336014
16,0.047761277
16,0.04269232
16,0.051457643
16,0.046552322
16,0.042649113
16,0.041480414
16,0.036381988
16,0.036153942
16,0.03679769
16,0.034199091
16,0.042377318
16,0.033887152
16,0.036892649
16,0.040324711
16,0.036678812
16,0.032687988
16,0.035414903
16,0.043713336
16,0.040683484
16,0.039228107
16,0.04219914
16,0.038906675
16,0.041912458
16,0.034993984
16,0.037331963
16,0.034756698
16,0.03613746
16,0.038426312
16,0.04865716
16,0.045785668
16,0.049723034
16,0.051605289
16,0.05312409
16,0.052584494
16,0.04885753
16,0.048308692
16,0.050787262
16,0.051236754
16,0.049261635
15.57142857,0.057993313
16,0.050497467
15.28571429,0.051995538
15.28571429,0.056251299
14.28571429,0.051802241
16,0.052033416
13.14285714,0.050523228
16,0.048440484
14,0.051837785
16,0.047962476
16,0.051331457
15.14285714,0.054058642
15.71428571,0.042596905
16,0.042730271
16,0.049613626
16,0.040929839
16,0.047618757
16,0.041767333
16,0.042636032
16,0.036988569
16,0.046684392
16,0.047252302
16,0.03991063
16,0.039054374
16,0.043050218
16,0.035476601
16,0.034041542
16,0.033698084
16,0.030450457
16,0.036092236
16,0.032430107
16,0.033759045
16,0.034839786
16,0.032596084
16,0.031684667
16,0.031556209
16,0.03041503
16,0.030270285
16,0.03489236
16,0.034483882
16,0.033518024
16,0.02725032
16,0.027126253
16,0.029164483
16,0.02976635
16,0.030585937
16,0.032930525
16,0.040637914
16,0.035898466
16,0.038524858
16,0.035346814
16,0.037351369
16,0.034202511
16,0.038273724
16,0.032241404
16,0.042848109
15.28571429,0.039134154
16,0.038969285
16,0.046058214
16,0.044019858
16,0.039499932
16,0.037010865
14.5,0.037829401
16,0.043143396
15.57142857,0.045393883
16,0.039133933
16,0.041502219
16,0.037136383
16,0.035422374
16,0.034370767
16,0.031928269
16,0.042428201
16,0.038871
16,0.037471724
16,0.039704597
16,0.035411645
16,0.02839836
16,0.032235014
16,0.028550275
15.6,0.026868601
16,0.030030564
16,0.033115613
16,0.03473344
16,0.033073135
16,0.031720994
16,0.026973743
16,0.029424769
16,0.029461863
16,0.030793139
16,0.030119794
16,0.031247216
16,0.034435641
16,0.035515822
16,0.024370031
16,0.031303825
16,0.032135264
16,0.032266161
16,0.037115862
16,0.035656881
16,0.038688619
16,0.038397162
16,0.036920104
16,0.031597765
14.42857143,0.034468674
16,0.039456566
16,0.040407469
16,0.015795833
16,0.011292957
16,0.011944749
16,0.015077543
15.28571429,0.009092189
16,0.014659039
16,0.010578063
16,0.007693095
16,0.003876456
15.14285714,0.003739371
15.71428571,0.002506376
16,0.001507391
16,0.000953262
16,0.000389279
16,0.000100519
16,0.000373016
15,0.000463685
15.71428571,8.35E-05
16,0.000178694
16,0.000269917
16,7.24E-05
16,0
16,8.98E-05
16,7.81E-05
16,0.00075454
16,0.000375997
16,0.000474956
16,0.000263607
16,0.004833337
16,0.00191502
16,0.000341184
15.28571429,0.000515967
16,0.000523008
16,0.000263655
16,0.000275371
16,0.00023222
16,0.000235781
16,0.001859814
16,0.002046137
16,0.001804151
16,0.002125905
15.14285714,0.002750006
16,0.002598807
16,0.003916554
16,0.006924405
16,0.003674372
16,0.003706743
16,0.00793866
15.71428571,0.003073855
16,0.003572506
15.14285714,0.002711374
16,0.002744278
16,0.002445214
15.71428571,0.001228074
15.71428571,0.00147955
14.33333333,0.003201616
16,0.00193849
16,0.003359725
16,0.003625095
16,0.00372411
16,0.003558219
16,0.009686276
16,0.006499775
16,0.007489802
16,0.010605448
16,0.015804135
16,0.037793914
16,0.040009916
16,0.037334505
16,0.048319848
16,0.05447037
16,0.066898373
16,0.07422473
16,0.088802529
16,0.082187401
16,0.072147306
16,0.086862652
16,0.091469625
16,0.126592951
16,0.104516575
16,0.116086304
16,0.10244465
16,0.098596496
16,0.108236181
16,0.129552218
16,0.157529115
16,0.133536908
16,0.134446563
16,0.124662251
16,0.120193164
16,0.126880753
16,0.146504687
16,0.186989864
16,0.18395763
16,0.19567246
16,0.255446572
16,0.210728344
16,0.201513205
16,0.257986114
16,0.318244435
16,0.209743831
16,0.203243599
15.57142857,0.251946602
16,0.276571713
15.28571429,0.330438005
15.28571429,0.218087868
14.28571429,0.215239803
16,0.207964809
13.14285714,0.227474249
16,0.224247833
14,0.185870589
16,0.176541482
16,0.200460154
15.14285714,0.212946506
15.71428571,0.200658048
16,0.201464001
16,0.194818644
16,0.175719911
16,0.190166579
16,0.156511615
16,0.160108416
16,0.198031829
16,0.175502588
16,0.188976351
16,0.221178304
16,0.20309633
16,0.165614808
16,0.159017677
16,0.172604224
16,0.197208831
16,0.251924922
16,0.202058604
16,0.210945613
16,0.193093292
16,0.171648983
16,0.180286104
16,0.180149255
16,0.181019167
16,0.152120405
16,0.192589918
16,0.156649617
16,0.168654711
16,0.163354115
16,0.14984365
16,0.161701418
16,0.163886121
16,0.189909412
16,0.254280716
16,0.165932164
16,0.185915891
16,0.254013124
16,0.294591305
16,0.161097416
16,0.178908198
16,0.211787079
16,0.221700376
16,0.273613709
16,0.187709103
15.28571429,0.174071382
16,0.194001294
16,0.157249209
16,0.195132999
16,0.180625038
16,0.161553562
14.5,0.189764232
16,0.182868629
15.57142857,0.193805484
16,0.168042732
16,0.180799971
16,0.188765144
16,0.171044813
16,0.157197355
16,0.174775415
16,0.177358051
16,0.145263767
16,0.163170994
16,0.178581643
16,0.191678495
16,0.167821336
16,0.173896212
16,0.15044826
15.6,0.192693381
16,0.219023638
16,0.199235341
16,0.139836914
16,0.1409181
16,0.141613092
16,0.140995367
16,0.13879593
16,0.161283659
16,0.139741188
16,0.144888266
16,0.155054447
16,0.140910834
16,0.151730164
16,0.156120309
16,0.164268442
16,0.145579066
16,0.159244857
16,0.192617655
16,0.140265105
16,0.155311167
16,0.171921931
16,0.214976814
16,0.149682888
14.42857143,0.181545452
16,0.185703536
16,0.202961249
16,0.045166331
16,0.047556996
16,0.047170263
16,0.052026914
15.28571429,0.046280394
16,0.060521974
16,0.059197263
16,0.06200727
16,0.060248202
15.14285714,0.073224513
15.71428571,0.08827165
16,0.098324727
16,0.103244696
16,0.109025526
16,0.105967966
16,0.112403389
15,0.108986085
15.71428571,0.095009099
16,0.106925171
16,0.117695041
16,0.126996394
16,0.123349508
16,0.130271414
16,0.117194966
16,0.152449595
16,0.144892655
16,0.155326432
16,0.142915387
16,0.157402975
16,0.153180883
16,0.149477093
15.28571429,0.165167899
16,0.187053294
16,0.178256322
16,0.168085444
16,0.17729012
16,0.18837829
16,0.205586057
16,0.194903172
16,0.226836581
16,0.207537064
15.14285714,0.191507298
16,0.237350005
16,0.202883838
16,0.211842519
16,0.204318738
16,0.21711969
16,0.24382864
15.71428571,0.23859785
16,0.212136277
15.14285714,0.257570864
16,0.255741742
16,0.226467866
15.71428571,0.245657653
15.71428571,0.22103296
14.33333333,0.232671603
16,0.251056656
16,0.258487733
16,0.278937166
16,0.276440496
16,0.29800896
16,0.257402702
16,0.258966574
16,0.242284665
16,0.239721439
16,0.241574366
16,0.224524843
16,0.239304845
16,0.241597518
16,0.211786973
16,0.226676488
16,0.243209149
16,0.23809824
16,0.241865886
16,0.262346764
16,0.247257322
16,0.252332961
16,0.236520465
16,0.234896943
16,0.221753899
16,0.243803322
16,0.244368554
16,0.244557796
16,0.253104898
16,0.26384056
16,0.252917612
16,0.249553761
16,0.260932332
16,0.286071004
16,0.316337031
16,0.319485802
16,0.315775432
16,0.320440634
16,0.294189813
16,0.289591635
16,0.28780993
16,0.249586501
16,0.275078265
16,0.259634301
16,0.294245532
16,0.25759807
16,0.245484172
15.57142857,0.257802181
16,0.242532805
15.28571429,0.280793575
15.28571429,0.251158114
14.28571429,0.243516006
16,0.239570369
13.14285714,0.249269956
16,0.270841995
14,0.271029231
16,0.271538502
16,0.2720205
15.14285714,0.238869885
15.71428571,0.227735623
16,0.223747972
16,0.223372521
16,0.247893812
16,0.241820468
16,0.230300014
16,0.2223673
16,0.209951861
16,0.20740099
16,0.201239745
16,0.198604087
16,0.202659361
16,0.19510859
16,0.199989283
16,0.186935062
16,0.182107371
16,0.208308762
16,0.182007738
16,0.172347658
16,0.177692588
16,0.193462657
16,0.191107989
16,0.207721071
16,0.192177323
16,0.186109653
16,0.173681935
16,0.193951724
16,0.191921483
16,0.187962238
16,0.20945367
16,0.189891013
16,0.204833696
16,0.20282953
16,0.228414858
16,0.199132943
16,0.196476652
16,0.189717259
16,0.232855356
16,0.190713885
16,0.218326912
16,0.204699971
16,0.208297744
16,0.212577311
16,0.188969829
15.28571429,0.195442523
16,0.180857529
16,0.17993923
16,0.184828878
16,0.192169321
16,0.182624858
14.5,0.182314322
16,0.184086802
15.57142857,0.176414067
16,0.19358037
16,0.188158656
16,0.190076022
16,0.192568355
16,0.173119843
16,0.173986344
16,0.182647122
16,0.161487069
16,0.163782034
16,0.158698152
16,0.18052291
16,0.174542178
16,0.171351369
16,0.159858703
15.6,0.165323978
16,0.164931994
16,0.172570039
16,0.153596853
16,0.156595389
16,0.155083374
16,0.151781468
16,0.151276478
16,0.151470402
16,0.150109756
16,0.163277351
16,0.151321792
16,0.146003284
16,0.151889848
16,0.156019814
16,0.170426305
16,0.181628163
16,0.162800802
16,0.177630981
16,0.161994975
16,0.164884599
16,0.156457682
16,0.190339425
16,0.140771946
14.42857143,0.136301694
16,0.151610421
16,0.156103438
16,0
16,0
16,0
16,0
15.28571429,0
16,0
16,0
16,0
16,0
15.14285714,0
15.71428571,0
16,0
16,0
16,0
16,0
16,0
15,0
15.71428571,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
15.28571429,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
15.14285714,0
16,0
16,0
16,0
16,0
16,0
16,0
15.71428571,0
16,0
15.14285714,0
16,0
16,0
15.71428571,0
15.71428571,0
14.33333333,0
16,0
16,0
16,0
16,0
16,0.002131665
16,0.003628059
16,0
16,0.002304173
16,0.003149166
16,0.000569102
16,0.002574319
16,0.001557602
16,0.000142215
16,0.000974034
16,0.002021444
16,0.001877186
16,0.00037135
16,0.000124826
16,0.001260701
16,0.00128057
16,0.002214388
16,0.002151611
16,0.001753612
16,0.001111041
16,0.002647558
16,0.001993604
16,0.00246216
16,0.002096828
16,0.002957028
16,0.000894885
16,0.005297262
16,0.004127297
16,0.004941243
16,0.005773306
16,0.009680171
16,0.008296603
16,0.012989712
16,0.016524567
16,0.015582344
16,0.019603759
16,0.020243431
16,0.020768658
16,0.022268973
16,0.021792346
16,0.02203553
16,0.019651152
15.57142857,0.020817655
16,0.022563217
15.28571429,0.021271405
15.28571429,0.02272595
14.28571429,0.020906119
16,0.018488142
13.14285714,0.024707428
16,0.021129674
14,0.024139972
16,0.018673798
16,0.026634633
15.14285714,0.025953269
15.71428571,0.02943738
16,0.030314995
16,0.032507769
16,0.041231856
16,0.039541761
16,0.042797118
16,0.04543297
16,0.049751578
16,0.050622168
16,0.052737314
16,0.059747424
16,0.055651257
16,0.060954236
16,0.061440215
16,0.061935368
16,0.061939451
16,0.071990369
16,0.062985299
16,0.062850224
16,0.066409833
16,0.066225971
16,0.067055533
16,0.071595805
16,0.07355706
16,0.068346827
16,0.07284787
16,0.07390465
16,0.075137087
16,0.070091001
16,0.085202711
16,0.072664288
16,0.078000495
16,0.077137496
16,0.085117064
16,0.073689533
16,0.075132692
16,0.067926886
16,0.086074409
16,0.072676949
16,0.076811397
16,0.073867137
16,0.075593659
16,0.078402132
16,0.070105262
15.28571429,0.072436098
16,0.068263505
16,0.060974752
16,0.073085276
16,0.074041937
16,0.064891867
14.5,0.067291255
16,0.065150028
15.57142857,0.060316026
16,0.071782761
16,0.070625203
16,0.069426447
16,0.06383011
16,0.062162963
16,0.060584774
16,0.06037733
16,0.057002445
16,0.05637888
16,0.058406372
16,0.06876107
16,0.062187883
16,0.061515486
16,0.057128618
15.6,0.058055975
16,0.063877788
16,0.057496019
16,0.057407911
16,0.057306502
16,0.053655843
16,0.055137691
16,0.053982386
16,0.054246167
16,0.053585511
16,0.061751208
16,0.055460785
16,0.056702771
16,0.055698444
16,0.054446131
16,0.05809428
16,0.059612035
16,0.055527065
16,0.064376885
16,0.051820573
16,0.051333758
16,0.051114828
16,0.063124405
16,0.046781529
14.42857143,0.047311163
16,0.047943901
16,0.052048024
16,0
16,0
16,0
16,0
15.28571429,0
16,0
16,0
16,0
16,0
15.14285714,0
15.71428571,0
16,0
16,0
16,0
16,0
16,0
15,0
15.71428571,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
15.28571429,0
16,8.72E-05
16,0.000571594
16,0.002548715
16,0.004763366
16,0.007824755
16,0.008031382
16,0.007409512
16,0.009501231
16,0.014434438
15.14285714,0.019261596
16,0.021252998
16,0.024468033
16,0.021531617
16,0.021061535
16,0.023556957
16,0.028302607
15.71428571,0.02312719
16,0.02405482
15.14285714,0.024311806
16,0.026731329
16,0.024184506
15.71428571,0.025067739
15.71428571,0.021202509
14.33333333,0.022899357
16,0.022374566
16,0.026032528
16,0.025036334
16,0.021652624
16,0.023142306
16,0.022304161
16,0.022939644
16,0.024390255
16,0.02516803
16,0.028868718
16,0.030941883
16,0.02850522
16,0.024605368
16,0.016675111
16,0.019766611
16,0.033550037
16,0.03682731
16,0.035523537
16,0.035330611
16,0.026307465
16,0.021312216
16,0.027211182
16,0.033476697
16,0.036928926
16,0.049839581
16,0.044953354
16,0.044511822
16,0.044505593
16,0.033353652
16,0.018281226
16,0.021046086
16,0.034732906
16,0.047100064
16,0.049094322
16,0.05194274
16,0.062548307
16,0.066228596
16,0.064876694
16,0.05963126
16,0.067693816
16,0.050846432
16,0.055144876
16,0.052148937
16,0.06327106
16,0.048570404
16,0.048603205
15.57142857,0.054225767
16,0.049248503
15.28571429,0.046955501
15.28571429,0.039422727
14.28571429,0.037409788
16,0.036104201
13.14285714,0.042671422
16,0.041083867
14,0.039629913
16,0.038521696
16,0.037062062
15.14285714,0.030886502
15.71428571,0.026485328
16,0.025167279
16,0.022791577
16,0.032137161
16,0.02898774
16,0.027590482
16,0.026369345
16,0.026049782
16,0.024112834
16,0.027392683
16,0.027161416
16,0.02786811
16,0.02538658
16,0.035393311
16,0.032153836
16,0.031956232
16,0.030462069
16,0.026221539
16,0.030890307
16,0.034749331
16,0.037825848
16,0.035146944
16,0.036248964
16,0.024204857
16,0.018859952
16,0.020959499
16,0.027460343
16,0.03066549
16,0.03277263
16,0.030862619
16,0.030123892
16,0.032025751
16,0.033153924
16,0.041739676
16,0.032403412
16,0.0341894
16,0.03045319
16,0.043725328
16,0.03444875
16,0.041576811
16,0.039880542
16,0.037267792
16,0.033893655
16,0.026395054
15.28571429,0.024924911
16,0.023147836
16,0.024191704
16,0.026386206
16,0.026806634
16,0.023252278
14.5,0.025551632
16,0.024002642
15.57142857,0.02571077
16,0.029389826
16,0.031239613
16,0.034016996
16,0.032954362
16,0.035129621
16,0.03514461
16,0.035244416
16,0.031088081
16,0.034666022
16,0.031959116
16,0.040587481
16,0.037535946
16,0.036738415
16,0.034544566
15.6,0.033735228
16,0.04020321
16,0.033971599
16,0.030992713
16,0.032287031
16,0.027485176
16,0.024890258
16,0.01979219
16,0.018326408
16,0.016458407
16,0.02352922
16,0.020083527
16,0.023972622
16,0.024735233
16,0.024438152
16,0.027962954
16,0.028644128
16,0.025532954
16,0.032278859
16,0.021753556
16,0.020506222
16,0.020187822
16,0.025790411
16,0.017355407
14.42857143,0.019268546
16,0.019248423
16,0.018006851
16,0
16,0
16,0
16,0
15.28571429,0
16,0
16,0
16,0.003030613
16,0.006676119
15.14285714,0.009815848
15.71428571,0.011278691
16,0.010350753
16,0.016599544
16,0.020369457
16,0.025245239
16,0.026216792
15,0.030660922
15.71428571,0.025030782
16,0.030939491
16,0.035690821
16,0.030013521
16,0.034031932
16,0.03510734
16,0.035518224
16,0.044167366
16,0.033990136
16,0.040903061
16,0.033074798
16,0.032881153
16,0.04260648
16,0.041151948
15.28571429,0.039215449
16,0.050813819
16,0.057805741
16,0.061739497
16,0.07464513
16,0.079099061
16,0.107197103
16,0.105341034
16,0.099944917
16,0.114780943
15.14285714,0.113354202
16,0.100134703
16,0.160165075
16,0.127591456
16,0.130665814
16,0.133000358
16,0.173915189
15.71428571,0.149296365
16,0.139248239
15.14285714,0.18520355
16,0.181727154
16,0.139964906
15.71428571,0.133017415
15.71428571,0.174891507
14.33333333,0.180211322
16,0.214768957
16,0.173298145
16,0.166693806
16,0.146088258
16,0.170140539
16,0.159355636
16,0.167499395
16,0.141246442
16,0.126992481
16,0.139373574
16,0.125886996
16,0.135252263
16,0.140245652
16,0.135031103
16,0.158025088
16,0.160994732
16,0.195936372
16,0.192055131
16,0.170773905
16,0.162502411
16,0.175783399
16,0.183837821
16,0.238708988
16,0.167441174
16,0.173276974
16,0.157875269
16,0.154227558
16,0.169743251
16,0.188066725
16,0.191018197
16,0.205418766
16,0.183761444
16,0.173326517
16,0.190312639
16,0.195341582
16,0.208286237
16,0.241656944
16,0.242968451
16,0.228906586
16,0.275720386
16,0.209766489
16,0.237966188
16,0.266367741
16,0.303049064
16,0.210818604
16,0.197779204
15.57142857,0.243230603
16,0.258027887
15.28571429,0.264606109
15.28571429,0.190155254
14.28571429,0.179967506
16,0.178089366
13.14285714,0.193246674
16,0.176647745
14,0.15172923
16,0.143976991
16,0.144106713
15.14285714,0.164155925
15.71428571,0.152770833
16,0.15757311
16,0.147261151
16,0.137036925
16,0.128720042
16,0.110150848
16,0.109900583
16,0.144722079
16,0.134632098
16,0.140376365
16,0.170727261
16,0.153875535
16,0.135348825
16,0.12940874
16,0.14486587
16,0.146539703
16,0.179119055
16,0.121123988
16,0.101944823
16,0.111162467
16,0.122616987
16,0.128344679
16,0.107402476
16,0.116263874
16,0.116411523
16,0.15627627
16,0.13584588
16,0.133851813
16,0.127264889
16,0.131874863
16,0.133462552
16,0.138303824
16,0.15433313
16,0.217821351
16,0.130814828
16,0.143416834
16,0.205954696
16,0.239638201
16,0.130819789
16,0.145709801
16,0.155692312
16,0.169388721
16,0.195048307
16,0.12707071
15.28571429,0.123973527
16,0.124844
16,0.112177401
16,0.144730338
16,0.119758186
16,0.089723217
14.5,0.099623334
16,0.102177841
15.57142857,0.119324551
16,0.119355625
16,0.13645351
16,0.131123079
16,0.146700629
16,0.119507367
16,0.130759497
16,0.117263069
16,0.10936936
16,0.115191371
16,0.11876964
16,0.134062091
16,0.120793479
16,0.128909406
16,0.117611674
15.6,0.134336352
16,0.168831022
16,0.136846973
16,0.098925471
16,0.100260873
16,0.095077821
16,0.094583143
16,0.090700559
16,0.090596584
16,0.083239339
16,0.093354167
16,0.09738164
16,0.095848313
16,0.094778779
16,0.101819038
16,0.107923984
16,0.098995026
16,0.111769279
16,0.133905418
16,0.087637918
16,0.090920998
16,0.106560928
16,0.140107196
16,0.082185903
14.42857143,0.095272138
16,0.111701941
16,0.116325497
16,0.027924972
16,0.033686322
16,0.033061636
16,0.035970843
15.28571429,0.027777241
16,0.037481733
16,0.032078202
16,0.034334389
16,0.031933311
15.14285714,0.033427312
15.71428571,0.032589402
16,0.03528001
16,0.034974396
16,0.031197219
16,0.035590842
16,0.033111768
15,0.034690591
15.71428571,0.031770251
16,0.032260691
16,0.033071503
16,0.028636028
16,0.034200165
16,0.032709093
16,0.028353942
16,0.031822812
16,0.027904564
16,0.025494391
16,0.031375489
16,0.032248115
16,0.032753653
16,0.034338496
15.28571429,0.030835178
16,0.030689263
16,0.032699707
16,0.027542654
16,0.036543245
16,0.029950147
16,0.040238759
16,0.044731659
