 Average of Dew PointC ,Unit Sales
11,2790
10.28571429,2280
11.85714286,2286
12.28571429,3297
10,2325
11.42857143,1851
9.285714286,1959
13,2030
15.28571429,2249
13.71428571,2823
14.42857143,2143
14.42857143,2365
16.42857143,2334
17,2236
17.42857143,3747
16.85714286,2265
17,1903
17.6,2133
17.42857143,2087
17.14285714,2076
17.14285714,1971
16.57142857,2270
19,2920
17.57142857,2216
18,2127
16.71428571,1803
16,1653
17.85714286,2101
16,1753
16.42857143,1855
15.16666667,2396
9,2773
13.57142857,1808
10.57142857,1462
9.142857143,2541
15,4068
12.85714286,1750
10.28571429,1517
8.571428571,2584
4.75,2984
8.285714286,2573
10.42857143,1822
8.571428571,1994
10.71428571,1661
12.71428571,2787
8.285714286,2298
12.42857143,1793
10.57142857,1529
7.285714286,1639
11.57142857,1810
12.71428571,2456
13.14285714,2337
13.66666667,2037
11,2214
11,1785
12,2633
11.8,2119
11,2352
12.28571429,1560
12,1634
13.28571429,1952
14,2212
16.14285714,1881
16.85714286,1904
16.42857143,2680
17.66666667,2168
15.85714286,2869
16.85714286,1643
19.28571429,1978
18.16666667,2075
17.57142857,2096
16.71428571,2224
17.42857143,2050
18.85714286,1634
18.5,1913
18,2547
18.28571429,2108
19.14285714,1836
18,1943
16.57142857,2081
19.14285714,1917
17,1786
14.85714286,2079
9,2523
8.285714286,1418
7.142857143,1362
6,1855
3,2374
10.28571429,1450
6.285714286,1525
8.285714286,2187
3.4,2496
10,1721
11,1035
13.14285714,1322
8,1463
13,1573
6.571428571,2477
11.71428571,2068
10,1359
14,1400
11,1319
12.85714286,1831
11,2314
10.8,1896
13.85714286,1505
10.71428571,1161
11.85714286,1282
10.85714286,1341
12.57142857,1068
13.28571429,1476
12.85714286,1551
12.42857143,1603
13.33333333,1831
14.85714286,1480
14,1318
16.14285714,2022
18.6,2083
15.85714286,2354
16.85714286,1812
16.85714286,1776
18.71428571,1775
18,1841
17.14285714,2042
16.85714286,1831
16.71428571,1308
18.25,1252
16.71428571,1925
15.85714286,1488
17,1141
15,1267
14.28571429,1601
15.57142857,1400
14.57142857,1197
16.57142857,1740
16.5,1550
10.71428571,1728
11.14285714,1980
10.71428571,1797
9.75,1835
11.85714286,1285
12.28571429,1346
6.428571429,1536
6.428571429,1994
5,1205
0.285714286,872
7.285714286,1023
6.2,978
8.571428571,1392
6.142857143,1163
7.142857143,962
6.4,1033
10.28571429,1048
10.85714286,934
11.14285714,923
11.85714286,986
14,1106
9.571428571,1139
7.714285714,949
12,1119
12.66666667,947
13.14285714,1141
13.85714286,1042
13.42857143,1021
14.5,1204
14,1155
14.42857143,963
14.57142857,1123
16.42857143,1364
17,1304
17.28571429,1725
15.85714286,1214
16.42857143,1249
14.25,1356
14.14285714,1267
15.85714286,1710
15.57142857,1659
16.85714286,1657
18.28571429,1862
16.42857143,1591
16.28571429,1392
12.57142857,1270
14.5,1432
12.71428571,1423
11.57142857,1408
13.57142857,1743
11.8,1535
11.57142857,1573
12.85714286,1485
12,1544
9.714285714,1717
6.857142857,2218
4.428571429,1322
8.571428571,1336
6,1970
9.333333333,2216
9.142857143,1624
3.857142857,1183
9.857142857,1425
12,1092
9,1763
11.14285714,1396
11.71428571,1687
12.83333333,1860
12.28571429,1695
11.57142857,1555
12.14285714,1716
11.71428571,1696
11,1477
10.28571429,1843
11.85714286,1871
12.28571429,1855
10,1534
11.42857143,1668
9.285714286,1427
13,1537
15.28571429,1613
13.71428571,1782
14.42857143,1387
14.42857143,1689
16.42857143,1692
17,1633
17.42857143,2210
16.85714286,1501
17,1740
17.6,1728
17.42857143,1675
17.14285714,1752
17.14285714,1630
16.57142857,1724
19,1917
17.57142857,1654
18,1506
16.71428571,1401
16,1451
17.85714286,1946
16,1738
16.42857143,1783
15.16666667,1905
9,2019
13.57142857,1815
10.57142857,1595
9.142857143,1850
15,2509
12.85714286,1460
10.28571429,1528
8.571428571,2121
4.75,2416
8.285714286,2153
10.42857143,1494
8.571428571,1578
10.71428571,1564
12.71428571,2133
8.285714286,1608
12.42857143,1766
10.57142857,1499
7.285714286,1507
11.57142857,1775
12.71428571,1763
13.14285714,1616
13.66666667,1917
11,1800
11,1768
12,1625
11.8,1509
11,1857
12.28571429,1623
12,1641
13.28571429,1755
14,1641
16.14285714,1748
16.85714286,1496
16.42857143,1676
17.66666667,1495
15.85714286,2035
16.85714286,1456
19.28571429,1368
18.16666667,1500
17.57142857,1534
16.71428571,1363
17.42857143,1394
18.85714286,1328
18.5,1337
18,1601
18.28571429,1606
19.14285714,1401
18,1393
16.57142857,1075
19.14285714,1143
17,1105
14.85714286,1126
9,1275
8.285714286,1102
7.142857143,1355
6,1381
3,1752
10.28571429,1018
6.285714286,1135
8.285714286,1109
3.4,1742
10,1403
11,1084
13.14285714,1133
8,1167
13,1408
6.571428571,1888
11.71428571,1448
10,1173
14,1250
11,1408
12.85714286,1436
11,1429
10.8,1606
13.85714286,1310
10.71428571,1133
11.85714286,1278
10.85714286,1197
12.57142857,1484
13.28571429,1452
12.85714286,1377
12.42857143,1406
13.33333333,1635
14.85714286,1219
14,1229
16.14285714,1355
18.6,1175
15.85714286,1774
16.85714286,1556
16.85714286,1420
18.71428571,1431
18,1368
17.14285714,1125
16.85714286,1247
16.71428571,1243
18.25,1243
16.71428571,1493
15.85714286,1277
17,1337
15,1381
14.28571429,969
15.57142857,1190
14.57142857,1163
16.57142857,1225
16.5,1409
10.71428571,1322
11.14285714,1458
10.71428571,1428
9.75,1732
11.85714286,902
12.28571429,1030
6.428571429,1272
6.428571429,1885
5,275
0.285714286,149
7.285714286,177
6.2,213
8.571428571,177
6.142857143,232
7.142857143,164
6.4,116
10.28571429,63
10.85714286,56
11.14285714,46
11.85714286,26
14,19
9.571428571,7
7.714285714,2
12,7
12.66666667,9
13.14285714,2
13.85714286,4
13.42857143,5
14.5,2
14,
14.42857143,2
14.57142857,2
16.42857143,16
17,9
17.28571429,16
15.85714286,5
16.42857143,97
14.25,38
14.14285714,7
15.85714286,11
15.57142857,11
16.85714286,5
18.28571429,7
16.42857143,5
16.28571429,5
12.57142857,33
14.5,37
12.71428571,33
11.57142857,37
13.57142857,49
11.8,46
11.57142857,68
12.85714286,113
12,61
9.714285714,65
6.857142857,177
4.428571429,39
8.571428571,55
6,56
9.333333333,69
9.142857143,45
3.857142857,17
9.857142857,24
12,47
9,39
11.14285714,51
11.71428571,58
12.83333333,59
12.28571429,51
11.57142857,160
12.14285714,120
11.71428571,133
11,184
10.28571429,283
11.85714286,760
12.28571429,870
10,691
11.42857143,1108
9.285714286,1075
13,1397
15.28571429,1750
13.71428571,1867
14.42857143,1683
14.42857143,1652
16.42857143,1823
17,2036
17.42857143,4280
16.85714286,2215
17,2311
17.6,2176
17.42857143,2106
17.14285714,2248
17.14285714,2714
16.57142857,3241
19,3658
17.57142857,2979
18,2701
16.71428571,2330
16,2396
17.85714286,2930
16,3550
16.42857143,3300
15.16666667,3612
9,4854
13.57142857,3638
10.57142857,3290
9.142857143,4941
15,7863
12.85714286,2988
10.28571429,3153
8.571428571,4609
4.75,6618
8.285714286,6843
10.42857143,2897
8.571428571,3279
10.71428571,3127
12.71428571,4802
8.285714286,3723
12.42857143,3167
10.57142857,2760
7.285714286,2942
11.57142857,3496
12.71428571,4153
13.14285714,3810
13.66666667,3765
11,3866
11,3530
12,3045
11.8,2834
11,4972
12.28571429,3052
12,3282
13.28571429,4863
14,4269
16.14285714,3364
16.85714286,3354
16.42857143,4249
17.66666667,4375
15.85714286,8420
16.85714286,4078
19.28571429,4451
18.16666667,4290
17.57142857,3780
16.71428571,3769
17.42857143,3964
18.85714286,3811
18.5,3344
18,5093
18.28571429,3607
19.14285714,3426
18,3394
16.57142857,2957
19.14285714,3408
17,3104
14.85714286,3592
9,5301
8.285714286,2776
7.142857143,3099
6,4886
3,6698
10.28571429,2320
6.285714286,2718
8.285714286,3435
3.4,5047
10,5955
11,2375
13.14285714,2519
8,2905
13,2404
6.571428571,4185
11.71428571,3311
10,2561
14,3136
11,2984
12.85714286,3065
11,3070
10.8,3499
13.85714286,3329
10.71428571,2735
11.85714286,2922
10.85714286,3277
12.57142857,3103
13.28571429,2714
12.85714286,2998
12.42857143,3163
13.33333333,4426
14.85714286,3602
14,3315
16.14285714,3570
18.6,4213
15.85714286,6469
16.85714286,4683
16.85714286,2859
18.71428571,3049
18,3055
17.14285714,2940
16.85714286,2941
16.71428571,3402
18.25,2821
16.71428571,3591
15.85714286,3169
17,2737
15,2951
14.28571429,3106
15.57142857,3122
14.57142857,2636
16.57142857,3023
16.5,3656
10.71428571,2602
11.14285714,2927
10.71428571,3196
9.75,5043
11.85714286,2136
12.28571429,2714
6.428571429,2995
6.428571429,4736
5,1570
0.285714286,1252
7.285714286,1395
6.2,1472
8.571428571,1798
6.142857143,1919
7.142857143,1841
6.4,1862
10.28571429,1960
10.85714286,2193
11.14285714,3206
11.85714286,3424
14,4176
9.571428571,3930
7.714285714,3698
12,4230
12.66666667,4123
13.14285714,3993
13.85714286,4200
13.42857143,4590
14.5,6160
14,5462
14.42857143,5090
14.57142857,5270
16.42857143,6384
17,6768
17.28571429,10326
15.85714286,5706
16.42857143,6298
14.25,6103
14.14285714,6156
15.85714286,6748
15.57142857,7543
16.85714286,7130
18.28571429,8592
16.42857143,8061
16.28571429,8428
12.57142857,7389
14.5,7037
12.71428571,8409
11.57142857,7215
13.57142857,6858
11.8,8350
11.57142857,7064
12.85714286,6937
12,6805
9.714285714,7603
6.857142857,10899
4.428571429,6047
8.571428571,6499
6,10715
9.333333333,12782
9.142857143,8402
3.857142857,6982
9.857142857,7312
12,6863
9,10009
11.14285714,7803
11.71428571,8891
12.83333333,8798
12.28571429,8496
11.57142857,8521
12.14285714,9591
11.71428571,8606
11,8294
10.28571429,8651
11.85714286,9026
12.28571429,10406
10,8937
11.42857143,9711
9.285714286,8949
13,10159
15.28571429,11228
13.71428571,10170
14.42857143,10740
14.42857143,11322
16.42857143,10589
17,10529
17.42857143,15881
16.85714286,9397
17,9703
17.6,10377
17.42857143,10445
17.14285714,10511
17.14285714,11052
16.57142857,10405
19,13670
17.57142857,11561
18,12392
16.71428571,12265
16,12063
17.85714286,12628
16,12166
16.42857143,10552
15.16666667,10690
9,10937
13.57142857,8615
10.57142857,8981
9.142857143,9943
15,14537
12.85714286,7339
10.28571429,7614
8.571428571,9430
4.75,11604
8.285714286,11627
10.42857143,6671
8.571428571,7417
10.71428571,7202
12.71428571,10522
8.285714286,8991
12.42857143,9236
10.57142857,8489
7.285714286,7984
11.57142857,7843
12.71428571,9426
13.14285714,8461
13.66666667,8631
11,10905
11,8977
12,8961
11.8,7871
11,10540
12.28571429,7211
12,6989
13.28571429,8732
14,8518
16.14285714,7924
16.85714286,8434
16.42857143,9202
17.66666667,8078
15.85714286,13921
16.85714286,7345
19.28571429,7272
18.16666667,7895
17.57142857,8520
16.71428571,7989
17.42857143,9140
18.85714286,8090
18.5,8180
18,9184
18.28571429,8929
19.14285714,7795
18,7810
16.57142857,8264
19.14285714,8004
17,7757
14.85714286,7671
9,9522
8.285714286,6663
7.142857143,6550
6,7297
3,10587
10.28571429,5491
6.285714286,6632
8.285714286,6638
3.4,9482
10,9251
11,4782
13.14285714,5656
8,5414
13,5500
6.571428571,7926
11.71428571,7043
10,5790
14,6025
11,6006
12.85714286,5580
11,7071
10.8,7282
13.85714286,6703
10.71428571,6158
11.85714286,6436
10.85714286,6524
12.57142857,6390
13.28571429,6033
12.85714286,6017
12.42857143,5621
13.33333333,8334
14.85714286,7490
14,6532
16.14285714,7586
18.6,7228
15.85714286,9741
16.85714286,8110
16.85714286,6280
18.71428571,6775
18,6690
17.14285714,6328
16.85714286,6409
16.71428571,6389
18.25,6060
16.71428571,8092
15.85714286,6185
17,5670
15,5907
14.28571429,6207
15.57142857,6477
14.57142857,6576
16.57142857,6179
16.5,6742
10.71428571,6008
11.14285714,6213
10.71428571,5817
9.75,8928
11.85714286,4017
12.28571429,4074
6.428571429,4889
6.428571429,7284
5,
0.285714286,
7.285714286,
6.2,
8.571428571,
6.142857143,
7.142857143,
6.4,
10.28571429,
10.85714286,
11.14285714,
11.85714286,
14,
9.571428571,
7.714285714,
12,
12.66666667,
13.14285714,
13.85714286,
13.42857143,
14.5,
14,
14.42857143,
14.57142857,
16.42857143,
17,
17.28571429,
15.85714286,
16.42857143,
14.25,
14.14285714,
15.85714286,
15.57142857,
16.85714286,
18.28571429,
16.42857143,
16.28571429,
12.57142857,
14.5,
12.71428571,
11.57142857,
13.57142857,
11.8,
11.57142857,
12.85714286,
12,
9.714285714,
6.857142857,
4.428571429,
8.571428571,
6,
9.333333333,
9.142857143,
3.857142857,
9.857142857,
12,
9,
11.14285714,
11.71428571,
12.83333333,
12.28571429,61
11.57142857,120
12.14285714,
11.71428571,82
11,109
10.28571429,20
11.85714286,103
12.28571429,68
10,5
11.42857143,45
9.285714286,80
13,78
15.28571429,18
13.71428571,5
14.42857143,52
14.42857143,59
16.42857143,93
17,96
17.42857143,119
16.85714286,47
17,105
17.6,85
17.42857143,105
17.14285714,87
17.14285714,124
16.57142857,37
19,290
17.57142857,183
18,214
16.71428571,224
16,365
17.85714286,332
16,493
16.42857143,592
15.16666667,575
9,745
13.57142857,698
10.57142857,678
9.142857143,852
15,1076
12.85714286,628
10.28571429,609
8.571428571,761
4.75,1079
8.285714286,880
10.42857143,603
8.571428571,637
10.71428571,556
12.71428571,1043
8.285714286,701
12.42857143,822
10.57142857,584
7.285714286,781
11.57142857,852
12.71428571,1218
13.14285714,1146
13.66666667,1256
11,1813
11,1467
12,1664
11.8,1608
11,2497
12.28571429,1759
12,1831
13.28571429,2626
14,2338
16.14285714,2474
16.85714286,2590
16.42857143,3048
17.66666667,2747
15.85714286,4809
16.85714286,2541
19.28571429,2651
18.16666667,2949
17.57142857,2915
16.71428571,2802
17.42857143,3149
18.85714286,3095
18.5,3003
18,3851
18.28571429,3401
19.14285714,3051
18,2911
16.57142857,3360
19.14285714,3062
17,2953
14.85714286,2916
9,3547
8.285714286,2465
7.142857143,2504
6,2612
3,3912
10.28571429,2092
6.285714286,2332
8.285714286,2395
3.4,3440
10,3411
11,1773
13.14285714,2096
8,2043
13,1863
6.571428571,3133
11.71428571,2713
10,2056
14,2223
11,2125
12.85714286,1907
11,2621
10.8,2732
13.85714286,2447
10.71428571,2040
11.85714286,2310
10.85714286,2271
12.57142857,2111
13.28571429,2129
12.85714286,2070
12.42857143,2068
13.33333333,3173
14.85714286,2668
14,2344
16.14285714,2710
18.6,2537
15.85714286,3771
16.85714286,2701
16.85714286,2346
18.71428571,2478
18,2314
17.14285714,2298
16.85714286,2286
16.71428571,2287
18.25,2162
16.71428571,3059
15.85714286,2266
17,2201
15,2165
14.28571429,2165
15.57142857,2207
14.57142857,2157
16.57142857,2107
16.5,2443
10.71428571,1921
11.14285714,1933
10.71428571,1900
9.75,2960
11.85714286,1334
12.28571429,1414
6.428571429,1545
6.428571429,2428
5,
0.285714286,
7.285714286,
6.2,
8.571428571,
6.142857143,
7.142857143,
6.4,
10.28571429,
10.85714286,
11.14285714,
11.85714286,
14,
9.571428571,
7.714285714,
12,
12.66666667,
13.14285714,
13.85714286,
13.42857143,
14.5,
14,
14.42857143,
14.57142857,
16.42857143,
17,
17.28571429,
15.85714286,
16.42857143,
14.25,
14.14285714,
15.85714286,
15.57142857,4
16.85714286,23
18.28571429,130
16.42857143,217
16.28571429,350
12.57142857,289
14.5,267
12.71428571,352
11.57142857,502
13.57142857,690
11.8,747
11.57142857,852
12.85714286,705
12,701
9.714285714,825
6.857142857,1265
4.428571429,586
8.571428571,737
6,1011
9.333333333,1335
9.142857143,897
3.857142857,712
9.857142857,701
12,675
9,892
11.14285714,786
11.71428571,798
12.83333333,689
12.28571429,660
11.57142857,738
12.14285714,849
11.71428571,866
11,870
10.28571429,1033
11.85714286,1243
12.28571429,1239
10,910
11.42857143,764
9.285714286,780
13,1401
15.28571429,1736
13.71428571,1493
14.42857143,1446
14.42857143,1204
16.42857143,894
17,1211
17.42857143,2262
16.85714286,1564
17,1983
17.6,1908
17.42857143,1900
17.14285714,1847
17.14285714,1397
16.57142857,752
19,1152
17.57142857,1538
18,2039
16.71428571,1903
16,1960
17.85714286,2500
16,2513
16.42857143,2326
15.16666667,2200
9,2571
13.57142857,1754
10.57142857,1800
9.142857143,1996
15,3125
12.85714286,1383
10.28571429,1507
8.571428571,1983
4.75,2355
8.285714286,1944
10.42857143,1047
8.571428571,1139
10.71428571,1085
12.71428571,1801
8.285714286,1363
12.42857143,1350
10.57142857,1204
7.285714286,1087
11.57142857,1014
12.71428571,1096
13.14285714,951
13.66666667,880
11,1413
11,1076
12,1073
11.8,933
11,1307
12.28571429,838
12,951
13.28571429,1194
14,1171
16.14285714,1031
16.85714286,1492
16.42857143,1582
17.66666667,1417
15.85714286,2035
16.85714286,1058
19.28571429,1303
18.16666667,1543
17.57142857,1665
16.71428571,1469
17.42857143,1594
18.85714286,1019
18.5,829
18,1108
18.28571429,1264
19.14285714,1245
18,1361
16.57142857,1217
19.14285714,1269
17,1212
14.85714286,1253
9,1739
8.285714286,1084
7.142857143,1139
6,1171
3,1987
10.28571429,991
6.285714286,1262
8.285714286,1293
3.4,1696
10,1474
11,668
13.14285714,721
8,693
13,739
6.571428571,1131
11.71428571,982
10,737
14,844
11,783
12.85714286,813
11,1073
10.8,1209
13.85714286,1199
10.71428571,1053
11.85714286,1305
10.85714286,1317
12.57142857,1232
13.28571429,1161
12.85714286,1273
12.42857143,1132
13.33333333,1873
14.85714286,1610
14,1400
16.14285714,1639
18.6,1474
15.85714286,2373
16.85714286,1596
16.85714286,1267
18.71428571,1396
18,1185
17.14285714,1037
16.85714286,838
16.71428571,773
18.25,664
16.71428571,1166
15.85714286,821
17,931
15,962
14.28571429,972
15.57142857,1062
14.57142857,1037
16.57142857,969
16.5,1225
10.71428571,806
11.14285714,772
10.71428571,750
9.75,1209
11.85714286,495
12.28571429,576
6.428571429,620
6.428571429,840
5,
0.285714286,
7.285714286,
6.2,
8.571428571,
6.142857143,
7.142857143,
6.4,46
10.28571429,109
10.85714286,147
11.14285714,205
11.85714286,180
14,336
9.571428571,367
7.714285714,441
12,493
12.66666667,580
13.14285714,526
13.85714286,608
13.42857143,696
14.5,728
14,754
14.42857143,686
14.57142857,799
16.42857143,925
17,794
17.28571429,1360
15.85714286,660
16.42857143,658
14.25,849
14.14285714,848
15.85714286,801
15.57142857,1025
16.85714286,1156
18.28571429,1578
16.42857143,1697
16.28571429,1770
12.57142857,1927
14.5,1902
12.71428571,1853
11.57142857,1996
13.57142857,2030
11.8,1762
11.57142857,2789
12.85714286,2089
12,2176
9.714285714,2329
6.857142857,3888
4.428571429,1892
8.571428571,2133
6,3853
9.333333333,4542
9.142857143,2597
3.857142857,1891
9.857142857,2894
12,2658
9,4282
11.14285714,2616
11.71428571,2657
12.83333333,2325
12.28571429,2426
11.57142857,2638
12.14285714,3102
11.71428571,2509
11,2197
10.28571429,2496
11.85714286,2531
12.28571429,2941
10,2595
11.42857143,3096
9.285714286,3120
13,3363
15.28571429,4621
13.71428571,4039
14.42857143,3496
14.42857143,3721
16.42857143,3689
17,4093
17.42857143,8071
16.85714286,3548
17,3449
17.6,3353
17.42857143,3294
17.14285714,3525
17.14285714,3940
16.57142857,3930
19,5627
17.57142857,4072
18,3755
16.71428571,3690
16,3689
17.85714286,4166
16,4588
16.42857143,4358
15.16666667,4226
9,5240
13.57142857,3621
10.57142857,3885
9.142857143,5101
15,7488
12.85714286,3004
10.28571429,3068
8.571428571,4449
4.75,6174
8.285714286,5480
10.42857143,2526
8.571428571,2741
10.71428571,2677
12.71428571,4079
8.285714286,2933
12.42857143,2586
10.57142857,2251
7.285714286,2115
11.57142857,2695
12.71428571,3162
13.14285714,2980
13.66666667,2846
11,3015
11,2390
12,2143
11.8,1946
11,3633
12.28571429,2341
12,2438
13.28571429,3754
14,3234
16.14285714,2749
16.85714286,2729
16.42857143,3566
17.66666667,3251
15.85714286,5986
16.85714286,2444
19.28571429,2151
18.16666667,2470
17.57142857,2701
16.71428571,2683
17.42857143,2363
18.85714286,2448
18.5,2559
18,4133
18.28571429,3128
19.14285714,2719
18,2644
16.57142857,2602
19.14285714,2813
17,2619
14.85714286,2919
9,4541
8.285714286,2189
7.142857143,2391
6,3962
3,5449
10.28571429,1884
6.285714286,2214
8.285714286,2525
3.4,3856
10,4245
11,1608
13.14285714,1794
8,1869
13,1715
6.571428571,3104
11.71428571,2195
10,1423
14,1646
11,1667
12.85714286,1887
11,2180
10.8,2641
13.85714286,2313
10.71428571,2346
11.85714286,2222
10.85714286,2452
12.57142857,2052
13.28571429,2043
12.85714286,2116
12.42857143,2104
13.33333333,3095
14.85714286,2592
14,2457
16.14285714,2791
18.6,2937
15.85714286,4986
16.85714286,3216
16.85714286,2023
18.71428571,2169
18,2051
17.14285714,1972
16.85714286,1922
16.71428571,1911
18.25,1680
16.71428571,2314
15.85714286,1991
17,1862
15,1843
14.28571429,2026
15.57142857,2051
14.57142857,1792
16.57142857,2122
16.5,2542
10.71428571,1625
11.14285714,1713
10.71428571,1981
9.75,3287
11.85714286,1173
12.28571429,1424
6.428571429,1801
6.428571429,2714
5,970
0.285714286,887
7.285714286,977
6.2,1018
8.571428571,1079
6.142857143,1188
7.142857143,997
6.4,1031
10.28571429,1039
10.85714286,1001
11.14285714,1184
11.85714286,1229
14,1415
9.571428571,1125
7.714285714,1242
12,1246
12.66666667,1312
13.14285714,1335
13.85714286,1267
13.42857143,1290
14.5,1389
14,1514
14.42857143,1278
14.57142857,1275
16.42857143,1333
17,1303
17.28571429,1695
15.85714286,1253
16.42857143,1290
14.25,1305
14.14285714,1414
15.85714286,1260
15.57142857,1237
16.85714286,1308
18.28571429,1408
16.42857143,1662
16.28571429,1340
12.57142857,1446
14.5,1615
12.71428571,1575
11.57142857,1505
13.57142857,1608
11.8,1540
11.57142857,1595
12.85714286,1285
12,1458
9.714285714,1384
6.857142857,2122
4.428571429,1158
8.571428571,1172
6,1385
9.333333333,1920
9.142857143,1696
3.857142857,1334
9.857142857,1463
12,1583
9,1678
11.14285714,2049
11.71428571,1840
12.83333333,1774
12.28571429,1623
11.57142857,1708
12.14285714,1848
11.71428571,2084
11,1997
10.28571429,2059
11.85714286,2094
12.28571429,2283
10,2044
11.42857143,2154
9.285714286,2031
13,2434
15.28571429,2315
13.71428571,2804
14.42857143,2283
14.42857143,2539
16.42857143,2474
17,2504
17.42857143,3457
16.85714286,2537
17,2678
17.6,2619
17.42857143,2669
17.14285714,2846
17.14285714,2832
16.57142857,2567
19,2810
17.57142857,2968
18,2631
16.71428571,2742
16,2627
17.85714286,2733
16,2806
16.42857143,2852
15.16666667,3090
9,3232
13.57142857,2914
10.57142857,3056
9.142857143,2944
15,3892
12.85714286,2444
10.28571429,2713
8.571428571,2749
4.75,3603
8.285714286,3423
10.42857143,2482
8.571428571,2841
10.71428571,3112
12.71428571,3119
8.285714286,3605
12.42857143,3290
10.57142857,3161
7.285714286,3203
11.57142857,3287
12.71428571,3482
13.14285714,3987
13.66666667,3739
11,4151
11,3801
12,3880
11.8,3714
11,4217
12.28571429,3505
12,3941
13.28571429,3985
14,4608
16.14285714,4172
16.85714286,4327
16.42857143,4506
17.66666667,4220
15.85714286,5561
16.85714286,3606
19.28571429,4284
